instrument,type,role
pang gu ly hu hmông,Wind instrument,other
Paraguayan harp,String instrument,harp
parkapzuk,Wind instrument,other
pedal steel guitar,String instrument,guitar
percussion,Percussion instrument,drums
percussion idiophone,Percussion instrument,drums
phách,Percussion instrument,drums
pi nai,Wind instrument,other
Pianet,Electronic instrument,other
piano accordion,Wind instrument,keys
piano duo,Ensemble,keys
piano four hands,Ensemble,keys
piano quartet,Ensemble,keys
piano spinet,String instrument,keys
piano trio,Ensemble,keys
piccolo oboe,Wind instrument,other
piccolo trumpet,Wind instrument,other
pipa,String instrument,strings
pipe and tabor,Ensemble,other
pipe organ,Wind instrument,keys
piva,Wind instrument,other
pkhachich,Percussion instrument,drums
plucked string instruments,String instrument,strings
pluriarc,String instrument,strings
pocket trumpet,Wind instrument,other
poi,Percussion instrument,drums
portative,Wind instrument,other
Portuguese guitar,String instrument,guitar
post horn,Wind instrument,other
practice chanter,Wind instrument,other
prepared piano,String instrument,keys
primero,Percussion instrument,drums
psaltery,String instrument,strings
pākuru,Percussion instrument,drums
pātē,Percussion instrument,drums
pōrutu,Wind instrument,other
pūkaea,Wind instrument,other
pūmotomoto,Wind instrument,other
pūpakapaka,Wind instrument,other
pūtātara,Wind instrument,other
pūtōrino,Wind instrument,other
qilaut,Percussion instrument,drums
quadruple reed,Wind instrument,other
quena,Wind instrument,other
quijada,Percussion instrument,drums
quinto,Percussion instrument,drums
Radhika's Mohan veena,String instrument,strings
rainstick,Percussion instrument,drums
ranat thum,Percussion instrument,drums
ratchet,Percussion instrument,drums
rauschpfeife,Wind instrument,other
ravanahatta,String instrument,strings
Reactable,Electronic instrument,other
rebab,String instrument,strings
reclam de xeremies,Wind instrument,other
reco-reco,Percussion instrument,drums
recorder,Wind instrument,other
reed organ,Wind instrument,keys
regal,Wind instrument,other
repinique,Percussion instrument,drums
reyong,Percussion instrument,drums
Rhodes piano,Percussion instrument,drums
rhythm sticks,Percussion instrument,drums
riq,Percussion instrument,drums
ronroco,String instrument,strings
rototom,Percussion instrument,drums
ruan,String instrument,strings
rubab,String instrument,strings
sac de gemecs,Wind instrument,other
saduk,Wind instrument,other
sampler,Electronic instrument,other
sanshin,String instrument,strings
santoor,String instrument,strings
santur,String instrument,strings
sanxian,String instrument,strings
sarangi,String instrument,strings
sarod,String instrument,strings
saron barung,Percussion instrument,drums
saron demung,Percussion instrument,drums
saron family,Percussion instrument,drums
saron panerus,Percussion instrument,drums
saron wayang,Percussion instrument,drums
sarrusophone,Wind instrument,other
satsuma biwa,String instrument,strings
saw duang,String instrument,strings
saw sam sai,String instrument,strings
saw u,String instrument,strings
saxophone,Wind instrument,other
saxophone quartet,Ensemble,saxophone
scraped idiophone,Percussion instrument,drums
segunda,Percussion instrument,drums
Serbo-Croatian tamburica orchestra,Ensemble,other
shakers,Percussion instrument,drums
shawm,Wind instrument,other
shehnai,Wind instrument,other
sheng,Wind instrument,other
shofar,Wind instrument,other
shruti box,Wind instrument,other
siku,Wind instrument,other
single reed,Wind instrument,other
sistrum,Percussion instrument,drums
slenthem,Percussion instrument,drums
slentho,Percussion instrument,drums
slide guitar,String instrument,guitar
slide whistle,Wind instrument,other
somu dūdas,Wind instrument,other
song loan,Percussion instrument,drums
sopranino saxophone,Wind instrument,other
soprano clarinet,Wind instrument,other
soprano flute,Wind instrument,other
soprano recorder,Wind instrument,other
soprano saxophone,Wind instrument,other
soprano violin,String instrument,violin
sordellina,Wind instrument,other
sousaphone,Wind instrument,other
spilåpipa,Wind instrument,other
spinet,String instrument,strings
spinettone,String instrument,strings
spoons,Percussion instrument,drums
steel guitar,String instrument,guitar
string quartet,Ensemble,strings
string quintet,Ensemble,strings
string synthesizer,Electronic instrument,keys
string trio,Ensemble,strings
strings,String instrument,strings
Stroh violin,String instrument,violin
struck idiophone,Percussion instrument,drums
subcontrabass recorder,Wind instrument,other
suikinkutsu,Other instrument,other
suling,Wind instrument,other
suona,Wind instrument,other
surbahar,String instrument,strings
surdo,Percussion instrument,drums
swaragat,String instrument,strings
swarmandal,String instrument,strings
synthesizer,Electronic instrument,keys
syrinx,Wind instrument,other
sáo meò,Wind instrument,other
sáo trúc,Wind instrument,other
säckpipa,Wind instrument,other
sênh tiền,Percussion instrument,drums
t'rưng,Percussion instrument,drums
tabla,Percussion instrument,drums
table steel guitar,String instrument,guitar
tabor,Percussion instrument,drums
taiko,Percussion instrument,drums
taishogoto,String instrument,strings
talharpa,String instrument,strings
talkbox,Other instrument,other
talking drum,Percussion instrument,drums
tamborim,Percussion instrument,drums
tambourine,Percussion instrument,drums
tambura,String instrument,strings
tanbou ka,Percussion instrument,drums
tanbur,String instrument,strings
tangent piano,String instrument,keys
tanpura,String instrument,strings
taonga pūoro,Ensemble,other
tap dance,Percussion instrument,drums
tape,Other instrument,other
taphon,Percussion instrument,drums
tar,Percussion instrument,drums
taragot,Wind instrument,other
te kū,String instrument,strings
tef,Percussion instrument,drums
telharmonium,Electronic instrument,other
temple blocks,Percussion instrument,drums
temür khuur,Percussion instrument,drums
tenor banjo,String instrument,banjo
tenor guitar,String instrument,guitar
tenor horn / alto horn,Wind instrument,other
tenor recorder,Wind instrument,other
tenor saxophone,Wind instrument,other
tenor trombone,Wind instrument,other
tenor viol,String instrument,violin
tenor violin,String instrument,violin
tenora,Wind instrument,other
The Great Stalacpipe Organ,Percussion instrument,drums
theremin,Electronic instrument,other
thon,Percussion instrument,drums
three-hole pipe,Wind instrument,other
ti bwa,Percussion instrument,drums
tible,Wind instrument,other
timbales,Percussion instrument,drums
timpani,Percussion instrument,drums
tin whistle,Wind instrument,other
tinya,Percussion instrument,drums
tololoche,String instrument,strings
tom-tom,Percussion instrument,drums
Tonette,Wind instrument,other
tonkori,String instrument,strings
topshuur,String instrument,strings
torupill,Wind instrument,other
toy piano,String instrument,keys
traditional basque ensemble,Ensemble,other
transverse flute,Wind instrument,other
trautonium,Electronic instrument,other
treble viol,String instrument,violin
tres,String instrument,strings
tritantri veena,String instrument,strings
tromba marina,String instrument,strings
trombone,Wind instrument,other
trumpet,Wind instrument,other
trumpet family,Family,trumpet
tràm plè,Wind instrument,other
trắng jâu,Wind instrument,other
trắng lu,Wind instrument,other
tsampouna,Wind instrument,other
tuba,Wind instrument,other
tubax,Wind instrument,other
tube zither,String instrument,strings
tubular bells,Percussion instrument,drums
tubulum,Percussion instrument,drums
tulum,Wind instrument,other
tumbi,String instrument,strings
tumutumu,Percussion instrument,drums
tun tuna,String instrument,strings
txalaparta,Percussion instrument,drums
txistu,Wind instrument,other
typewriter,Percussion instrument,drums
tzoura,String instrument,strings
tōkere,Percussion instrument,drums
udu,Percussion instrument,drums
uilleann pipes,Wind instrument,other
valiha,String instrument,strings
valve trombone,Wind instrument,other
valved brass instruments,Wind instrument,other
veena,Family,other
venu,Wind instrument,other
vertical viola,String instrument,strings
vessel flute,Wind instrument,other
vibrandoneon,Wind instrument,other
vichitra veena,String instrument,strings
viol consort,Ensemble,violin
viol family,Family,violin
viola caipira,String instrument,violin
viola da gamba,String instrument,violin
violin,String instrument,violin
violin family,Family,violin
violino piccolo,String instrument,violin
viololyra,String instrument,violin
violoncello piccolo,String instrument,violin
violone,String instrument,violin
violotta,String instrument,violin
virginal,String instrument,strings
VM Bhatt's Mohan veena,String instrument,strings
vocoder,Electronic instrument,other
voice synthesizer,Electronic instrument,sing
vuvuzela,Wind instrument,other
washboard,Percussion instrument,drums
washtub bass,String instrument,bass
water drum,Percussion instrument,drums
waterphone,Percussion instrument,drums
whistle,Wind instrument,other
willow flute,Wind instrument,other
wind chime,Percussion instrument,drums
wind instruments,Wind instrument,other
wood block,Percussion instrument,drums
wot,Wind instrument,other
Wurlitzer electric piano,Percussion instrument,drums
xalam,String instrument,strings
Xaphoon,Wind instrument,other
xeremies,Wind instrument,other
xiao,Wind instrument,other
xiaoluo,Percussion instrument,drums
xun,Wind instrument,other
yangqin,String instrument,strings
yatga,String instrument,strings
yaylı tanbur,String instrument,strings
yazh,String instrument,strings
yehu,String instrument,strings
yonggo,Percussion instrument,drums
yoochin,String instrument,strings
yu,Percussion instrument,drums
yueqin,String instrument,strings
zabumba,Percussion instrument,drums
zampogna,Wind instrument,other
zarb,Percussion instrument,drums
zhaleika,Wind instrument,other
zhonghu,String instrument,strings
zhongruan,String instrument,strings
zhuihu,String instrument,strings
zill,Percussion instrument,drums
zither,String instrument,strings
zurna,Wind instrument,other
çevgen,Percussion instrument,drums
đing buốt,Wind instrument,other
đing năm,Wind instrument,other
đàn nguyệt,String instrument,strings
đàn tam,String instrument,strings
đàn tranh,String instrument,strings
đàn tứ,String instrument,strings
đàn tứ dây,String instrument,strings
đàn tỳ bà,String instrument,strings
ģīga,String instrument,strings
ōtsuzumi,Percussion instrument,drums
żafżafa,Percussion instrument,drums
żummara,Other instrument,other
